qid,qtitle,qtags,assistid,pvnum,visitduration,logdate,loghour
0000016AC4811CB7000001056375706F795F72656C656173655155455354,Day_030_HW 葉編碼相關問題,"['ml100-2', 'ml100-2-d30']",ai_tw,1,36,2019-07-14,0
0000016AD067DA440000017C6375706F795F72656C656173655155455354,Day_030_葉編碼(apply用法),"['ml100-2', 'ml100-2-d30']",ai_tw,1,12,2019-07-14,0
0000016AD0D0C91E000001836375706F795F72656C656173655155455354,Day30_HW,"['ml100-2', 'ml100-2-d30']",ai_tw,1,14,2019-07-14,0
0000016B233E98D3000000646375706F795F72656C656173655155455354,Day30 shape 問題,"['ml100-2-d30', 'ml100-2']",ai_tw,1,17,2019-07-14,0
0000016B6D5539DD000001746375706F795F72656C656173655155455354,如何求得模式的Bias/Variance?,"['ml100-2', 'ml100-2-d34']",ai_tw,1,0,2019-07-14,0
0000016B88BBFEA3000000556375706F795F72656C656173655155455354,D30 到目前為止的一些問題,"['ml100-2-d30', 'ml100-2']",ai_tw,1,35,2019-07-14,0
0000016BCA17D6950000003D6375706F795F72656C656173655155455354,D69 HW Model summary參數值,"['ml100-2', 'ml100-2-d69']",ai_tw,1,348,2019-07-14,0
0000016BDEB338C20000009E6375706F795F72656C656173655155455354,Questions about Day74_Gradient Descent_Math.ipynb?,"['ml100-2', 'ml100-2-d74']",ai_tw,1,0,2019-07-14,0
0000016BE17B6FAA000000B06375706F795F72656C656173655155455354,day-69,"['ml100-2', 'ml100-2-d69']",ai_tw,1,7,2019-07-14,0
0000016BB7645826000001486375706F795F72656C656173655155455354,最後模型概述信息,"['ml100-2', 'ml100-2-d68']",ai_tw,1,26,2019-07-14,1
0000016BBD2A6A1E000000076375706F795F72656C656173655155455354,"執行範例時，出現""name 'auxiliary_input' is not defined"" 錯誤","['ml100-2', 'ml100-2-d69']",ai_tw,1,440,2019-07-14,1
0000016BCB719949000000476375706F795F72656C656173655155455354,Day67作業中於執行到plot_images_labels_prediction報錯,"['ml100-2', 'ml100-2-d67']",ai_tw,1,1033,2019-07-14,1
0000016BE6E6E56B000000C96375706F795F72656C656173655155455354,DAY70,"['ml100-2', 'ml100-2-d70', ' normalize']",ai_tw,1,0,2019-07-14,1
0000016BE96C53BB000000D76375706F795F72656C656173655155455354,D72 啟動函數,"['ml100-2', 'ml100-2-d72']",ai_tw,1,111,2019-07-14,1
0000016B4F28E91C000000DC6375706F795F72656C656173655155455354,Day33-Overfitting的解釋,"['ml100-2', 'ml100-2-d33']",ai_tw,1,0,2019-07-14,5
0000016AAB01AB6D000000FE6375706F795F72656C656173655155455354,D23均值編碼交叉驗證問題,"['ml100-2', 'ml100-2-d23']",ai_tw,1,58,2019-07-14,8
0000016AAB540EE4000001026375706F795F72656C656173655155455354,Day 7 用 np.percentile 寫入 DataFrame,"['numpy', 'ml100-2', 'ml100-2-d07']",ai_tw,1,270,2019-07-14,8
0000016AAC66B5360000010F6375706F795F72656C656173655155455354,#Day_018,"['ml100-2', 'ml100-2-d18']",ai_tw,1,162,2019-07-14,8
0000016AAF1ED2320000012E6375706F795F72656C656173655155455354,HW 023 : 均值編碼-作業二的問題,"['ml100-2', 'ml100-2-d23']",ai_tw,1,88,2019-07-14,8
0000016AAF39524F000000046375706F795F72656C656173655155455354,Day10,"['ml100-2', 'ml100-2-d10']",ai_tw,2,75,2019-07-14,8
0000016A387BBB74000003436375706F795F72656C656173655155455354,day1程式碼問題,"['ml100-2', 'mse', 'mae', 'ml100-2-d01']",ai_tw,1,0,2019-07-14,9
0000016A38E8A3CC0000034E6375706F795F72656C656173655155455354,DAY1 python寫法,"['ml100-2', 'python', 'ml100-2-d01']",ai_tw,1,71,2019-07-14,9
0000016A39B18264000003636375706F795F72656C656173655155455354,Day_003-2_HW,"['ml100-2', '語法', 'ml100-2-d03']",ai_tw,1,102,2019-07-14,9
0000016A39F1E9C80000036F6375706F795F72656C656173655155455354,HW3-2,"['ml100-2', 'try-except', 'ml100-2-d03']",ai_tw,1,38,2019-07-14,9
