qid,qtitle,qtags,assistid,pvnum,visitduration,logdate,loghour
0000016B8357AD130000003E6375706F795F72656C656173655155455354,Day58,"[' 生成', 'ml100-2', 'ml100-2-d58']",ai_tw,1,15,2019-07-07,0
0000016B89BAE540000000636375706F795F72656C656173655155455354,D60 example & HW 圖顯示不出,"['ml100-2', 'ml100-2-d60']",ai_tw,1,723,2019-07-07,0
0000016BC66D5987000000216375706F795F72656C656173655155455354,使用損失函數問題?,"['ml100-2', 'ml100-2-d71']",ai_tw,1,12,2019-07-07,0
0000016BC7ACF48E000000356375706F795F72656C656173655155455354,期中考的經驗學習,['ml100-2'],ai_tw,1,8,2019-07-07,0
0000016B694BADD3000001686375706F795F72656C656173655155455354,關於MAE和ＭSE?,"['ml100-2', 'ml100-2-d36', 'day 36']",ai_tw,1,16,2019-07-07,1
0000016B8A716DE10000006F6375706F795F72656C656173655155455354,D61_課堂練習_圖片解釋,"['ml100-2', 'ml100-2-d61']",ai_tw,1,119,2019-07-07,1
0000016B9252A504000000A06375706F795F72656C656173655155455354,Day_061  tsn 和 資料視覺化部分,"['ml100-2', 'ml100-2-d61', '資料視覺化部分']",ai_tw,1,169,2019-07-07,1
0000016BC349A4E9000000176375706F795F72656C656173655155455354,D68 建立CNN model 跳出棄用之問題,"['ml100-2', 'ml100-2-d68']",ai_tw,1,952,2019-07-07,1
0000016BC7ACF48E000000356375706F795F72656C656173655155455354,期中考的經驗學習,['ml100-2'],ai_tw,2,8,2019-07-07,1
0000016BBD2A6A1E000000076375706F795F72656C656173655155455354,"執行範例時，出現""name 'auxiliary_input' is not defined"" 錯誤","['ml100-2', 'ml100-2-d69']",ai_tw,1,439,2019-07-07,5
0000016AFA426BDA000002A06375706F795F72656C656173655155455354,Day 40 迴歸分析評估標準,"['ml100-2', 'ml100-2-d40']",ai_tw,1,0,2019-07-07,7
0000016A2F386DB4000001696375706F795F72656C656173655155455354, 關於作業 3 package PIL 跟 OpenCV,"['ml100-2', 'cv2', '安裝', 'ml100-2-d03']",ai_tw,1,0,2019-07-07,8
0000016A73623AEE000000ED6375706F795F72656C656173655155455354,DAY003  NameError: name 'df' is not defined,"['ml100-2', 'df', 'ml100-2-d03']",ai_tw,1,32,2019-07-07,8
0000016B89BAE540000000636375706F795F72656C656173655155455354,D60 example & HW 圖顯示不出,"['ml100-2', 'ml100-2-d60']",ai_tw,1,33,2019-07-07,8
0000016BB7645826000001486375706F795F72656C656173655155455354,最後模型概述信息,"['ml100-2', 'ml100-2-d68']",ai_tw,1,145,2019-07-07,8
0000016BBD2A6A1E000000076375706F795F72656C656173655155455354,"執行範例時，出現""name 'auxiliary_input' is not defined"" 錯誤","['ml100-2', 'ml100-2-d69']",ai_tw,1,0,2019-07-07,8
0000016BC349A4E9000000176375706F795F72656C656173655155455354,D68 建立CNN model 跳出棄用之問題,"['ml100-2', 'ml100-2-d68']",ai_tw,1,54,2019-07-07,8
0000016B89BAE540000000636375706F795F72656C656173655155455354,D60 example & HW 圖顯示不出,"['ml100-2', 'ml100-2-d60']",ai_tw,1,0,2019-07-07,9
0000016BB1A6FC6B000001256375706F795F72656C656173655155455354,D59,"['ml100-2', 'ml100-2-d59']",ai_tw,1,0,2019-07-07,9
0000016BB7645826000001486375706F795F72656C656173655155455354,最後模型概述信息,"['ml100-2', 'ml100-2-d68']",ai_tw,1,65,2019-07-07,9
0000016BC349A4E9000000176375706F795F72656C656173655155455354,D68 建立CNN model 跳出棄用之問題,"['ml100-2', 'ml100-2-d68']",ai_tw,1,9,2019-07-07,9
0000016BC7ACF48E000000356375706F795F72656C656173655155455354,期中考的經驗學習,['ml100-2'],ai_tw,1,9,2019-07-07,9
0000016BC80F2A76000000376375706F795F72656C656173655155455354,day 65有關batchsize大小描述出於什麼paper,"['ml100-2', 'ml100-2-d65']",ai_tw,1,4,2019-07-07,9
0000016BCA17D6950000003D6375706F795F72656C656173655155455354,D69 HW Model summary參數值,"['ml100-2', 'ml100-2-d69']",ai_tw,1,10,2019-07-07,9
00000167A830A0AA000000076375706F795F72656C656173655155455354,請問我 macOS 已經有裝 Python3.7 了還有需要裝別的軟體嗎?,"['ml100', 'faq', '環境安裝']",ai_tw,1,15,2019-07-07,10
00000168E77D621B000000FC6375706F795F72656C656173655155455354,"Graphviz如下安裝後仍無法使用, 請問該如何解決?","['ml100', 'graphviz']",ai_tw,1,59,2019-07-07,10
0000016A2F386DB4000001696375706F795F72656C656173655155455354, 關於作業 3 package PIL 跟 OpenCV,"['ml100-2', 'cv2', '安裝', 'ml100-2-d03']",ai_tw,1,5,2019-07-07,10
0000016A31781F86000002416375706F795F72656C656173655155455354,Day3 問題,"['ml100-2', 'faq', 'bytesio', 'ml100-2-d03']",ai_tw,1,39,2019-07-07,10
0000016BB7645826000001486375706F795F72656C656173655155455354,最後模型概述信息,"['ml100-2', 'ml100-2-d68']",ai_tw,1,62,2019-07-07,10
0000016BBD2A6A1E000000076375706F795F72656C656173655155455354,"執行範例時，出現""name 'auxiliary_input' is not defined"" 錯誤","['ml100-2', 'ml100-2-d69']",ai_tw,1,0,2019-07-07,10
0000016BC6ED42FF000000286375706F795F72656C656173655155455354,特徵具共線性問題,['ml100-2'],ai_tw,1,23,2019-07-07,10
0000016BC7ACF48E000000356375706F795F72656C656173655155455354,期中考的經驗學習,['ml100-2'],ai_tw,1,2,2019-07-07,10
0000016BCA3537010000003E6375706F795F72656C656173655155455354,Day69 問題?,"['ml100-2', 'ml100-2-d69']",ai_tw,1,16,2019-07-07,10
0000016B36131487000000426375706F795F72656C656173655155455354,D48 assignment,"['ml100-2', 'ml100-2-d48']",ai_tw,1,11,2019-07-07,11
0000016B3CC02425000000576375706F795F72656C656173655155455354,Day48,"['ml100-2', 'ml100-2-d48']",ai_tw,1,94,2019-07-07,11
0000016BBD2A6A1E000000076375706F795F72656C656173655155455354,"執行範例時，出現""name 'auxiliary_input' is not defined"" 錯誤","['ml100-2', 'ml100-2-d69']",ai_tw,2,840,2019-07-07,11
0000016BC66D5987000000216375706F795F72656C656173655155455354,使用損失函數問題?,"['ml100-2', 'ml100-2-d71']",ai_tw,2,11,2019-07-07,11
0000016BC6926C31000000246375706F795F72656C656173655155455354,shape?,"['ml100-2', 'ml100-2-d71']",ai_tw,2,11,2019-07-07,11
0000016A6A02FC88000003006375706F795F72656C656173655155455354,D3_hw2不知道要怎麼同時讀取五張圖片,"['ml100-2', 'append', 'ml100-2-d03']",ai_tw,1,0,2019-07-07,12
0000016A966D998E000003C86375706F795F72656C656173655155455354,D3-2開啟五張圖片,"['ml100-2', 'ml100-2-d03', '讀取圖片']",ai_tw,1,12,2019-07-07,12
0000016B4F28E91C000000DC6375706F795F72656C656173655155455354,Day33-Overfitting的解釋,"['ml100-2', 'ml100-2-d33']",ai_tw,1,0,2019-07-07,12
0000016B894368FA000000596375706F795F72656C656173655155455354,D62畫圖未顯示？？,"['ml100-2', 'd62', 'ml100-2-d62']",ai_tw,1,439,2019-07-07,12
0000016B89BAE540000000636375706F795F72656C656173655155455354,D60 example & HW 圖顯示不出,"['ml100-2', 'ml100-2-d60']",ai_tw,1,1390,2019-07-07,12
0000016B99ADE35D000000C16375706F795F72656C656173655155455354,Day063 何謂影像特徵的平移不變性?,"['ml100-2', 'ml100-2-d63']",ai_tw,1,0,2019-07-07,12
0000016B9C7A8930000000C56375706F795F72656C656173655155455354,SVM呢??,[],ai_tw,1,5,2019-07-07,12
0000016BB1337639000001216375706F795F72656C656173655155455354,Day66 WIndow 10 安裝 keras 問題,"['ml100-2', 'ml100-2-d66']",ai_tw,1,9,2019-07-07,12
0000016BB50E40400000013B6375706F795F72656C656173655155455354,D66 請問沒有GPU的電腦該如何安裝Tensor Flow ?,"['ml100-2', 'ml100-2-d66']",ai_tw,1,979,2019-07-07,12
0000016BC66D5987000000216375706F795F72656C656173655155455354,使用損失函數問題?,"['ml100-2', 'ml100-2-d71']",ai_tw,1,0,2019-07-07,12
0000016BC6926C31000000246375706F795F72656C656173655155455354,shape?,"['ml100-2', 'ml100-2-d71']",ai_tw,2,69,2019-07-07,12
0000016BC6ED42FF000000286375706F795F72656C656173655155455354,特徵具共線性問題,['ml100-2'],ai_tw,1,19,2019-07-07,12
0000016BC7ACF48E000000356375706F795F72656C656173655155455354,期中考的經驗學習,['ml100-2'],ai_tw,3,59,2019-07-07,12
0000016A4CEF13F50000007A6375706F795F72656C656173655155455354,HW3-2  如何檢查url是否有效?,"['ml100-2', 'column', 'row', 'ml100-2-d03']",ai_tw,1,32,2019-07-07,13
0000016A716537EF000000846375706F795F72656C656173655155455354,TypeError: Image data cannot be converted to float,"['ml100-2', 'cv2 module', 'ml100-2-d03']",ai_tw,1,20,2019-07-07,13
0000016A73E46FDA000001246375706F795F72656C656173655155455354,Day003-2,"['ml100-2', '二維陣列', 'ml100-2-d03']",ai_tw,1,16,2019-07-07,13
0000016B894368FA000000596375706F795F72656C656173655155455354,D62畫圖未顯示？？,"['ml100-2', 'd62', 'ml100-2-d62']",ai_tw,1,570,2019-07-07,13
0000016BB1337639000001216375706F795F72656C656173655155455354,Day66 WIndow 10 安裝 keras 問題,"['ml100-2', 'ml100-2-d66']",ai_tw,1,23,2019-07-07,13
0000016BB50E40400000013B6375706F795F72656C656173655155455354,D66 請問沒有GPU的電腦該如何安裝Tensor Flow ?,"['ml100-2', 'ml100-2-d66']",ai_tw,1,637,2019-07-07,13
0000016BBD2A6A1E000000076375706F795F72656C656173655155455354,"執行範例時，出現""name 'auxiliary_input' is not defined"" 錯誤","['ml100-2', 'ml100-2-d69']",ai_tw,2,161,2019-07-07,13
0000016BBFEF73FF0000000B6375706F795F72656C656173655155455354,安裝後執行import時無法找到cudart64_90.dll,"['ml100-2-d66', 'ml100-2']",ai_tw,2,17,2019-07-07,13
0000016BC349A4E9000000176375706F795F72656C656173655155455354,D68 建立CNN model 跳出棄用之問題,"['ml100-2', 'ml100-2-d68']",ai_tw,1,0,2019-07-07,13
