browser,vistornum,sessionnum,logdate
Android Webview,3,3,2019-06-03
Chrome,483,864,2019-06-03
Edge,5,10,2019-06-03
Firefox,15,32,2019-06-03
Internet Explorer,2,2,2019-06-03
Opera,2,3,2019-06-03
Safari,45,70,2019-06-03
Safari (in-app),7,9,2019-06-03
YaBrowser,1,3,2019-06-03
Android Webview,1,1,2019-06-04
Chrome,450,775,2019-06-04
Edge,10,24,2019-06-04
Firefox,12,23,2019-06-04
Internet Explorer,3,3,2019-06-04
Opera,1,1,2019-06-04
Safari,42,65,2019-06-04
Safari (in-app),5,11,2019-06-04
Samsung Internet,1,1,2019-06-04
YaBrowser,1,3,2019-06-04
(not set),1,1,2019-06-05
Android Webview,3,4,2019-06-05
Chrome,420,705,2019-06-05
Edge,7,13,2019-06-05
Firefox,13,19,2019-06-05
Internet Explorer,2,2,2019-06-05
Opera,2,2,2019-06-05
Safari,37,61,2019-06-05
Safari (in-app),9,11,2019-06-05
Samsung Internet,2,2,2019-06-05
Android Webview,8,8,2019-06-06
Chrome,377,640,2019-06-06
Edge,6,14,2019-06-06
Firefox,11,20,2019-06-06
Internet Explorer,4,4,2019-06-06
Safari,27,50,2019-06-06
Safari (in-app),9,14,2019-06-06
Android Webview,5,6,2019-06-07
Chrome,299,590,2019-06-07
Edge,12,22,2019-06-07
Firefox,6,16,2019-06-07
Internet Explorer,1,1,2019-06-07
Opera,2,2,2019-06-07
Safari,40,73,2019-06-07
Safari (in-app),6,9,2019-06-07
Android Webview,3,3,2019-06-08
Chrome,268,602,2019-06-08
Edge,10,20,2019-06-08
Firefox,9,32,2019-06-08
Internet Explorer,1,1,2019-06-08
Opera,1,1,2019-06-08
Safari,34,53,2019-06-08
Safari (in-app),6,7,2019-06-08
Android Webview,5,5,2019-06-09
Chrome,334,720,2019-06-09
Edge,7,15,2019-06-09
Firefox,14,24,2019-06-09
Safari,36,65,2019-06-09
Safari (in-app),3,3,2019-06-09
Android Webview,9,9,2019-06-10
Chrome,671,1187,2019-06-10
Edge,9,17,2019-06-10
Firefox,15,21,2019-06-10
Internet Explorer,1,2,2019-06-10
Opera,3,4,2019-06-10
Safari,44,88,2019-06-10
Safari (in-app),17,22,2019-06-10
YaBrowser,1,3,2019-06-10
Android Webview,2,2,2019-06-11
Chrome,515,1024,2019-06-11
Edge,12,16,2019-06-11
Firefox,12,21,2019-06-11
Internet Explorer,3,3,2019-06-11
Opera,2,2,2019-06-11
Safari,45,65,2019-06-11
Safari (in-app),6,11,2019-06-11
Chrome,460,843,2019-06-12
Edge,12,20,2019-06-12
Firefox,22,32,2019-06-12
Internet Explorer,3,3,2019-06-12
Opera,1,1,2019-06-12
Safari,44,66,2019-06-12
Safari (in-app),5,5,2019-06-12
Samsung Internet,1,1,2019-06-12
YaBrowser,1,1,2019-06-12
Android Webview,1,1,2019-06-13
Chrome,475,872,2019-06-13
Edge,8,18,2019-06-13
Firefox,9,16,2019-06-13
Internet Explorer,3,4,2019-06-13
Mozilla Compatible Agent,1,1,2019-06-13
Safari,37,52,2019-06-13
Safari (in-app),6,6,2019-06-13
Samsung Internet,2,2,2019-06-13
YaBrowser,2,2,2019-06-13
Android Webview,2,3,2019-06-14
Chrome,386,700,2019-06-14
Edge,10,12,2019-06-14
Firefox,12,15,2019-06-14
Internet Explorer,1,1,2019-06-14
Mozilla Compatible Agent,1,1,2019-06-14
Safari,24,47,2019-06-14
Safari (in-app),5,7,2019-06-14
Samsung Internet,1,1,2019-06-14
UC Browser,2,2,2019-06-14
Android Webview,1,1,2019-06-15
Chrome,327,682,2019-06-15
Edge,8,12,2019-06-15
Firefox,9,27,2019-06-15
Internet Explorer,2,3,2019-06-15
Opera,1,1,2019-06-15
Safari,33,52,2019-06-15
Safari (in-app),3,4,2019-06-15
Android Webview,2,2,2019-06-16
Chrome,384,867,2019-06-16
Edge,8,17,2019-06-16
Firefox,14,27,2019-06-16
Internet Explorer,2,2,2019-06-16
Opera,2,2,2019-06-16
Safari,42,67,2019-06-16
Safari (in-app),5,5,2019-06-16
Samsung Internet,2,3,2019-06-16
UC Browser,1,1,2019-06-16
Android Webview,4,5,2019-06-17
Chrome,483,855,2019-06-17
Edge,8,16,2019-06-17
Firefox,12,27,2019-06-17
Internet Explorer,2,2,2019-06-17
Opera,3,4,2019-06-17
Safari,35,55,2019-06-17
Safari (in-app),7,8,2019-06-17
Samsung Internet,1,1,2019-06-17
UC Browser,7,7,2019-06-17
Android Webview,1,1,2019-06-18
Chrome,415,745,2019-06-18
Edge,8,18,2019-06-18
Firefox,13,26,2019-06-18
Internet Explorer,2,2,2019-06-18
Opera,1,1,2019-06-18
Safari,46,67,2019-06-18
Safari (in-app),5,7,2019-06-18
Samsung Internet,2,2,2019-06-18
UC Browser,2,2,2019-06-18
Android Webview,1,1,2019-06-19
Chrome,359,563,2019-06-19
Edge,8,13,2019-06-19
Firefox,12,18,2019-06-19
Internet Explorer,2,2,2019-06-19
Safari,35,56,2019-06-19
Safari (in-app),2,2,2019-06-19
Samsung Internet,1,1,2019-06-19
UC Browser,8,8,2019-06-19
Android Webview,5,6,2019-06-20
Chrome,376,627,2019-06-20
Edge,8,15,2019-06-20
Firefox,12,17,2019-06-20
Internet Explorer,2,3,2019-06-20
Opera,1,1,2019-06-20
Safari,30,55,2019-06-20
Safari (in-app),9,10,2019-06-20
Android Webview,9,9,2019-06-21
Chrome,335,536,2019-06-21
Edge,8,11,2019-06-21
Firefox,7,12,2019-06-21
Internet Explorer,2,3,2019-06-21
Mozilla Compatible Agent,1,1,2019-06-21
Safari,26,42,2019-06-21
Safari (in-app),6,7,2019-06-21
Samsung Internet,1,1,2019-06-21
Android Webview,1,1,2019-06-22
Chrome,244,464,2019-06-22
Edge,5,6,2019-06-22
Firefox,7,10,2019-06-22
Internet Explorer,1,1,2019-06-22
Safari,21,31,2019-06-22
Safari (in-app),3,3,2019-06-22
Android Webview,1,1,2019-06-23
Chrome,272,492,2019-06-23
Edge,6,11,2019-06-23
Firefox,8,14,2019-06-23
Internet Explorer,1,1,2019-06-23
Opera,1,1,2019-06-23
Safari,20,27,2019-06-23
Safari (in-app),3,5,2019-06-23
Samsung Internet,2,2,2019-06-23
UC Browser,3,3,2019-06-23
YaBrowser,1,1,2019-06-23
Android Webview,3,3,2019-06-24
Chrome,403,728,2019-06-24
Edge,7,9,2019-06-24
Firefox,12,22,2019-06-24
Internet Explorer,1,1,2019-06-24
Safari,31,63,2019-06-24
Safari (in-app),2,2,2019-06-24
Samsung Internet,1,2,2019-06-24
UC Browser,1,1,2019-06-24
Chrome,392,717,2019-06-25
Edge,8,16,2019-06-25
Firefox,11,13,2019-06-25
Internet Explorer,3,3,2019-06-25
Mozilla Compatible Agent,1,1,2019-06-25
Opera,2,2,2019-06-25
Safari,35,49,2019-06-25
Safari (in-app),3,3,2019-06-25
Samsung Internet,3,6,2019-06-25
UC Browser,3,3,2019-06-25
Android Webview,1,1,2019-06-26
Chrome,347,591,2019-06-26
Edge,7,9,2019-06-26
Firefox,8,16,2019-06-26
Internet Explorer,4,4,2019-06-26
Safari,21,31,2019-06-26
Safari (in-app),4,4,2019-06-26
Samsung Internet,1,1,2019-06-26
Android Webview,5,5,2019-06-27
Chrome,341,591,2019-06-27
Edge,7,9,2019-06-27
Firefox,8,16,2019-06-27
Internet Explorer,1,1,2019-06-27
Opera,2,2,2019-06-27
Safari,27,36,2019-06-27
Safari (in-app),6,8,2019-06-27
Samsung Internet,1,1,2019-06-27
Android Webview,2,2,2019-06-28
Chrome,306,480,2019-06-28
Edge,9,15,2019-06-28
Firefox,6,11,2019-06-28
Internet Explorer,2,3,2019-06-28
Safari,26,43,2019-06-28
Safari (in-app),5,5,2019-06-28
Samsung Internet,2,2,2019-06-28
Chrome,220,419,2019-06-29
Edge,3,7,2019-06-29
Firefox,12,26,2019-06-29
Internet Explorer,1,1,2019-06-29
Safari,17,32,2019-06-29
Safari (in-app),2,2,2019-06-29
Samsung Internet,1,1,2019-06-29
UC Browser,6,6,2019-06-29
(not set),1,1,2019-06-30
Android Webview,2,3,2019-06-30
Chrome,240,461,2019-06-30
Edge,8,22,2019-06-30
Firefox,12,18,2019-06-30
