daysSinceLastSession,vistornum,sessionnum,pvnum,logdate
0,218,392,2761,2019-06-23
1,64,64,399,2019-06-23
10,3,3,13,2019-06-23
13,3,3,14,2019-06-23
14,1,1,8,2019-06-23
15,1,1,12,2019-06-23
16,1,1,1,2019-06-23
2,28,28,190,2019-06-23
21,1,1,0,2019-06-23
24,1,1,6,2019-06-23
26,1,1,1,2019-06-23
28,1,1,14,2019-06-23
3,20,20,130,2019-06-23
34,1,1,1,2019-06-23
4,12,12,83,2019-06-23
49,1,1,6,2019-06-23
5,8,8,38,2019-06-23
6,7,7,128,2019-06-23
62,1,1,12,2019-06-23
63,1,1,22,2019-06-23
7,7,7,67,2019-06-23
9,3,3,16,2019-06-23
0,317,576,3925,2019-06-24
1,69,69,490,2019-06-24
10,6,6,55,2019-06-24
12,2,2,77,2019-06-24
14,2,2,2,2019-06-24
15,1,1,3,2019-06-24
16,2,2,13,2019-06-24
17,3,3,15,2019-06-24
19,1,1,9,2019-06-24
2,66,65,456,2019-06-24
23,1,1,5,2019-06-24
24,3,3,7,2019-06-24
27,2,2,11,2019-06-24
3,48,48,308,2019-06-24
33,2,2,19,2019-06-24
38,1,1,2,2019-06-24
4,25,25,305,2019-06-24
5,4,4,34,2019-06-24
6,8,8,47,2019-06-24
7,4,4,36,2019-06-24
8,5,5,50,2019-06-24
9,1,1,4,2019-06-24
0,326,617,4571,2019-06-25
1,70,70,565,2019-06-25
10,1,1,1,2019-06-25
11,1,1,2,2019-06-25
13,2,2,27,2019-06-25
14,1,1,1,2019-06-25
15,2,2,12,2019-06-25
16,1,1,5,2019-06-25
18,1,1,15,2019-06-25
19,1,1,9,2019-06-25
2,26,26,224,2019-06-25
20,1,1,0,2019-06-25
21,2,2,15,2019-06-25
26,1,1,5,2019-06-25
3,23,23,183,2019-06-25
30,1,1,2,2019-06-25
32,1,1,3,2019-06-25
34,1,1,1,2019-06-25
35,1,1,1,2019-06-25
36,1,1,1,2019-06-25
4,24,24,246,2019-06-25
41,1,1,2,2019-06-25
44,1,1,35,2019-06-25
47,1,1,1,2019-06-25
5,7,7,50,2019-06-25
6,13,13,181,2019-06-25
7,5,5,23,2019-06-25
70,1,1,9,2019-06-25
75,1,1,81,2019-06-25
8,1,1,5,2019-06-25
9,3,3,8,2019-06-25
0,290,506,3484,2019-06-26
1,79,79,452,2019-06-26
10,1,1,2,2019-06-26
11,1,1,0,2019-06-26
12,1,1,2,2019-06-26
13,2,2,6,2019-06-26
14,2,2,71,2019-06-26
15,2,2,6,2019-06-26
16,2,2,18,2019-06-26
19,1,0,1,2019-06-26
2,19,19,163,2019-06-26
20,1,1,17,2019-06-26
27,1,1,1,2019-06-26
28,1,1,3,2019-06-26
3,6,6,31,2019-06-26
30,1,1,6,2019-06-26
32,1,1,43,2019-06-26
4,9,9,57,2019-06-26
5,4,4,14,2019-06-26
54,1,1,5,2019-06-26
6,2,2,16,2019-06-26
7,8,8,37,2019-06-26
70,1,1,7,2019-06-26
74,1,1,22,2019-06-26
8,2,2,8,2019-06-26
9,3,3,14,2019-06-26
0,281,488,3037,2019-06-27
1,88,88,631,2019-06-27
10,2,2,12,2019-06-27
11,1,1,31,2019-06-27
13,1,1,41,2019-06-27
14,4,4,6,2019-06-27
16,1,1,46,2019-06-27
17,1,1,2,2019-06-27
2,27,27,347,2019-06-27
20,1,1,3,2019-06-27
23,2,2,6,2019-06-27
24,4,4,39,2019-06-27
27,1,1,9,2019-06-27
3,13,13,94,2019-06-27
31,2,2,3,2019-06-27
33,1,1,1,2019-06-27
34,1,1,2,2019-06-27
35,1,1,1,2019-06-27
36,1,1,9,2019-06-27
4,2,2,11,2019-06-27
41,2,2,2,2019-06-27
45,1,1,7,2019-06-27
5,10,10,23,2019-06-27
6,6,6,22,2019-06-27
64,1,1,1,2019-06-27
7,2,2,6,2019-06-27
74,1,1,1,2019-06-27
8,2,2,61,2019-06-27
9,2,2,6,2019-06-27
0,241,398,2677,2019-06-28
1,65,65,559,2019-06-28
10,2,2,2,2019-06-28
11,2,2,7,2019-06-28
13,2,2,6,2019-06-28
14,3,3,30,2019-06-28
15,1,1,1,2019-06-28
154,1,1,1,2019-06-28
18,2,2,11,2019-06-28
19,2,2,5,2019-06-28
2,32,32,330,2019-06-28
20,2,2,15,2019-06-28
23,1,1,20,2019-06-28
24,1,1,6,2019-06-28
25,1,1,1,2019-06-28
28,1,1,21,2019-06-28
29,1,1,1,2019-06-28
3,14,14,94,2019-06-28
33,1,1,4,2019-06-28
4,11,11,82,2019-06-28
46,1,1,6,2019-06-28
5,2,2,5,2019-06-28
6,5,5,44,2019-06-28
67,1,1,3,2019-06-28
7,2,1,17,2019-06-28
72,1,1,1,2019-06-28
77,1,1,1,2019-06-28
8,3,3,9,2019-06-28
9,3,3,16,2019-06-28
0,197,363,2566,2019-06-29
1,43,43,333,2019-06-29
10,4,4,19,2019-06-29
11,4,4,6,2019-06-29
12,2,2,6,2019-06-29
13,1,1,2,2019-06-29
14,2,2,21,2019-06-29
15,1,1,9,2019-06-29
17,1,1,50,2019-06-29
18,4,4,37,2019-06-29
2,16,16,139,2019-06-29
20,1,1,3,2019-06-29
21,1,1,11,2019-06-29
25,1,1,9,2019-06-29
28,1,1,40,2019-06-29
3,11,11,90,2019-06-29
32,2,2,8,2019-06-29
33,1,1,31,2019-06-29
4,9,9,91,2019-06-29
48,1,1,1,2019-06-29
5,7,7,201,2019-06-29
6,7,7,74,2019-06-29
7,3,3,16,2019-06-29
71,1,1,10,2019-06-29
8,4,4,19,2019-06-29
9,3,3,5,2019-06-29
0,208,399,2931,2019-06-30
1,55,55,252,2019-06-30
10,2,2,27,2019-06-30
13,3,3,12,2019-06-30
14,2,2,2,2019-06-30
16,1,1,2,2019-06-30
17,1,1,23,2019-06-30
176,1,1,1,2019-06-30
18,1,1,1,2019-06-30
19,2,2,33,2019-06-30
2,26,26,268,2019-06-30
20,2,2,5,2019-06-30
21,1,1,1,2019-06-30
24,1,1,38,2019-06-30
25,1,1,4,2019-06-30
27,1,1,19,2019-06-30
3,12,12,80,2019-06-30
31,1,1,9,2019-06-30
38,1,1,7,2019-06-30
4,12,12,102,2019-06-30
5,10,10,91,2019-06-30
6,7,7,72,2019-06-30
61,1,1,26,2019-06-30
67,1,1,6,2019-06-30
7,6,6,61,2019-06-30
73,1,1,16,2019-06-30
8,2,2,15,2019-06-30
0,311,530,3245,2019-07-01
1,58,58,482,2019-07-01
