daysSinceLastSession,vistornum,sessionnum,pvnum,logdate
0,368,673,4668,2019-06-03
1,88,88,630,2019-06-03
10,7,7,75,2019-06-03
11,7,7,19,2019-06-03
12,1,1,2,2019-06-03
13,3,3,16,2019-06-03
14,1,1,7,2019-06-03
15,1,1,3,2019-06-03
16,3,3,10,2019-06-03
17,2,2,10,2019-06-03
18,1,1,9,2019-06-03
19,1,1,2,2019-06-03
2,77,77,552,2019-06-03
20,3,3,19,2019-06-03
21,2,2,14,2019-06-03
22,1,1,22,2019-06-03
23,1,1,34,2019-06-03
24,1,1,7,2019-06-03
25,1,1,4,2019-06-03
3,46,46,448,2019-06-03
31,1,1,1,2019-06-03
36,2,2,9,2019-06-03
4,26,26,208,2019-06-03
43,1,1,4,2019-06-03
46,1,1,0,2019-06-03
47,1,1,1,2019-06-03
5,17,17,111,2019-06-03
50,1,1,2,2019-06-03
6,12,12,95,2019-06-03
7,9,9,46,2019-06-03
8,2,2,6,2019-06-03
9,3,3,12,2019-06-03
0,387,697,4691,2019-06-04
1,83,83,464,2019-06-04
10,5,5,14,2019-06-04
11,4,4,105,2019-06-04
12,1,1,8,2019-06-04
13,2,2,1,2019-06-04
14,9,9,166,2019-06-04
15,1,1,1,2019-06-04
16,1,1,10,2019-06-04
17,1,1,5,2019-06-04
18,2,2,20,2019-06-04
2,33,33,203,2019-06-04
20,2,2,15,2019-06-04
21,1,1,2,2019-06-04
22,1,1,2,2019-06-04
3,17,17,85,2019-06-04
37,1,1,1,2019-06-04
38,1,1,1,2019-06-04
4,14,14,175,2019-06-04
44,1,1,94,2019-06-04
47,1,1,1,2019-06-04
49,1,1,0,2019-06-04
5,11,11,139,2019-06-04
6,9,9,81,2019-06-04
7,5,5,39,2019-06-04
8,2,2,3,2019-06-04
9,1,1,0,2019-06-04
0,359,613,4130,2019-06-05
1,98,98,591,2019-06-05
11,3,3,79,2019-06-05
12,6,6,27,2019-06-05
13,2,2,25,2019-06-05
14,1,1,1,2019-06-05
15,1,1,3,2019-06-05
16,2,2,2,2019-06-05
17,1,1,5,2019-06-05
18,2,2,14,2019-06-05
2,20,20,85,2019-06-05
20,3,3,18,2019-06-05
22,2,2,24,2019-06-05
23,1,1,3,2019-06-05
27,1,1,18,2019-06-05
3,20,20,144,2019-06-05
4,8,8,57,2019-06-05
45,1,1,0,2019-06-05
47,1,1,6,2019-06-05
48,2,2,27,2019-06-05
5,7,7,119,2019-06-05
55,2,2,14,2019-06-05
6,11,11,90,2019-06-05
67,1,1,1,2019-06-05
7,7,7,28,2019-06-05
8,3,3,15,2019-06-05
9,1,1,5,2019-06-05
0,293,547,3324,2019-06-06
1,88,88,647,2019-06-06
11,2,2,25,2019-06-06
116,1,1,1,2019-06-06
12,3,3,38,2019-06-06
13,4,4,16,2019-06-06
16,2,2,1,2019-06-06
17,1,1,0,2019-06-06
18,3,3,10,2019-06-06
2,38,38,320,2019-06-06
21,2,2,10,2019-06-06
22,1,1,11,2019-06-06
23,2,2,3,2019-06-06
25,1,1,3,2019-06-06
3,13,13,166,2019-06-06
34,2,2,6,2019-06-06
37,1,1,1,2019-06-06
39,1,1,1,2019-06-06
4,6,6,40,2019-06-06
46,1,1,5,2019-06-06
47,1,1,7,2019-06-06
49,1,1,7,2019-06-06
5,10,10,77,2019-06-06
50,1,1,1,2019-06-06
6,4,4,35,2019-06-06
7,7,7,46,2019-06-06
8,1,1,5,2019-06-06
9,6,6,90,2019-06-06
0,272,539,4191,2019-06-07
1,69,69,482,2019-06-07
10,2,2,15,2019-06-07
11,4,4,72,2019-06-07
12,1,1,14,2019-06-07
13,2,2,26,2019-06-07
15,2,2,6,2019-06-07
18,1,1,2,2019-06-07
19,1,1,1,2019-06-07
2,26,26,154,2019-06-07
20,2,2,3,2019-06-07
21,2,2,23,2019-06-07
23,1,1,2,2019-06-07
24,1,1,2,2019-06-07
25,1,1,3,2019-06-07
26,1,1,2,2019-06-07
27,1,1,8,2019-06-07
3,20,20,139,2019-06-07
35,1,1,1,2019-06-07
38,1,1,6,2019-06-07
4,13,13,88,2019-06-07
5,13,13,146,2019-06-07
51,1,1,4,2019-06-07
57,2,2,2,2019-06-07
58,1,1,1,2019-06-07
6,2,2,10,2019-06-07
7,1,1,1,2019-06-07
8,4,4,11,2019-06-07
9,4,4,29,2019-06-07
0,252,582,3988,2019-06-08
1,54,54,380,2019-06-08
10,2,2,9,2019-06-08
12,5,5,8,2019-06-08
13,2,2,17,2019-06-08
14,3,3,6,2019-06-08
18,1,1,1,2019-06-08
2,26,26,150,2019-06-08
25,1,1,3,2019-06-08
26,1,1,11,2019-06-08
3,13,13,84,2019-06-08
4,7,7,49,2019-06-08
45,1,1,5,2019-06-08
5,6,6,19,2019-06-08
50,1,1,4,2019-06-08
55,2,2,3,2019-06-08
6,9,9,126,2019-06-08
7,2,2,21,2019-06-08
8,1,1,29,2019-06-08
0,282,630,4944,2019-06-09
1,70,70,564,2019-06-09
10,2,2,2,2019-06-09
11,1,1,1,2019-06-09
115,1,1,1,2019-06-09
12,3,3,88,2019-06-09
13,2,2,21,2019-06-09
14,1,1,2,2019-06-09
15,1,1,1,2019-06-09
16,1,1,2,2019-06-09
17,2,2,7,2019-06-09
18,1,1,5,2019-06-09
2,36,36,317,2019-06-09
21,2,2,2,2019-06-09
22,1,1,12,2019-06-09
24,2,2,9,2019-06-09
28,2,2,12,2019-06-09
29,1,1,1,2019-06-09
3,21,21,185,2019-06-09
30,1,1,14,2019-06-09
4,16,16,131,2019-06-09
42,1,1,7,2019-06-09
5,11,11,80,2019-06-09
52,1,1,1,2019-06-09
6,7,7,92,2019-06-09
7,6,6,14,2019-06-09
8,4,4,11,2019-06-09
9,5,5,25,2019-06-09
0,590,1030,7036,2019-06-10
1,71,71,575,2019-06-10
10,10,10,77,2019-06-10
11,2,2,16,2019-06-10
12,1,1,5,2019-06-10
13,6,6,29,2019-06-10
14,1,1,1,2019-06-10
16,2,2,25,2019-06-10
17,1,1,3,2019-06-10
19,1,1,1,2019-06-10
2,22,22,206,2019-06-10
20,2,2,14,2019-06-10
21,3,3,6,2019-06-10
22,2,2,10,2019-06-10
24,2,2,4,2019-06-10
25,1,1,10,2019-06-10
26,4,4,63,2019-06-10
27,1,1,12,2019-06-10
