pagePath,assistid,qid,qtitle,qtags,avgsessionduration,pvnum,logdate
/qa/kwassist/ai_tw/0000016A387BBB74000003436375706F795F72656C656173655155455354,ai_tw,0000016A387BBB74000003436375706F795F72656C656173655155455354,day1程式碼問題,"['ml100-2', 'mse', 'mae', 'ml100-2-d01']",0.0,1,2019-06-23
/qa/kwassist/ai_tw/0000016AC15A2E7E000000F46375706F795F72656C656173655155455354,ai_tw,0000016AC15A2E7E000000F46375706F795F72656C656173655155455354,Day 30 31,"['ml100-2', 'ml100-2-d30', 'ml100-2-d31']",0.0,1,2019-06-23
/qa/kwassist/ai_tw/0000016AC4811CB7000001056375706F795F72656C656173655155455354,ai_tw,0000016AC4811CB7000001056375706F795F72656C656173655155455354,Day_030_HW 葉編碼相關問題,"['ml100-2', 'ml100-2-d30']",0.0,1,2019-06-23
/qa/kwassist/ai_tw/0000016AC586A413000001106375706F795F72656C656173655155455354,ai_tw,0000016AC586A413000001106375706F795F72656C656173655155455354,Day30 範例中的training data,"['ml100-2', 'ml100-2-d30']",0.0,1,2019-06-23
/qa/kwassist/ai_tw/0000016AC68932990000011E6375706F795F72656C656173655155455354,ai_tw,0000016AC68932990000011E6375706F795F72656C656173655155455354,Day30 切分train test 及結果輸出的程式碼,"[' 將梯度提升樹結果輸出pred_gdbt', 'ml100-2', 'ml100-2-d30']",0.0,1,2019-06-23
/qa/kwassist/ai_tw/0000016AECFECD6B000002466375706F795F72656C656173655155455354,ai_tw,0000016AECFECD6B000002466375706F795F72656C656173655155455354,Day034的兩個問題,"['ml100-2', 'ml100-2-d34']",43.0,2,2019-06-23
/qa/kwassist/ai_tw/0000016AFA426BDA000002A06375706F795F72656C656173655155455354,ai_tw,0000016AFA426BDA000002A06375706F795F72656C656173655155455354,Day 40 迴歸分析評估標準,"['ml100-2', 'ml100-2-d40']",0.0,1,2019-06-23
/qa/kwassist/ai_tw/0000016B27F70C91000000066375706F795F72656C656173655155455354,ai_tw,0000016B27F70C91000000066375706F795F72656C656173655155455354,等寬劃分(D12)後使用LinearRegression()做訓練是否可行?,"['ml100-2', 'ml100-2-d12', 'Linear Regression']",0.0,1,2019-06-23
/qa/kwassist/ai_tw/0000016B45A8854D000000A36375706F795F72656C656173655155455354,ai_tw,0000016B45A8854D000000A36375706F795F72656C656173655155455354,回歸模型的評價機制?,['ml100-2'],24.0,1,2019-06-23
/qa/kwassist/ai_tw/0000016B47293E28000000AD6375706F795F72656C656173655155455354,ai_tw,0000016B47293E28000000AD6375706F795F72656C656173655155455354,Day49該如何blending可以給些提示嗎? 想好多天了,"['day49', ' 混合泛化預測檔', 'ml100-2-d49']",0.0,1,2019-06-23
/qa/kwassist/ai_tw/0000016B5735FB7C000001056375706F795F72656C656173655155455354,ai_tw,0000016B5735FB7C000001056375706F795F72656C656173655155455354,期中問題,"['ml100-2-d51', '期中考']",0.0,1,2019-06-23
/qa/kwassist/ai_tw/0000016B5AD226B2000001206375706F795F72656C656173655155455354,ai_tw,0000016B5AD226B2000001206375706F795F72656C656173655155455354,D50 No module named 'mlxtend',"['ml100-2', 'ml100-2-d50']",0.0,3,2019-06-23
/qa/kwassist/ai_tw/0000016B5FAA022D0000013B6375706F795F72656C656173655155455354,ai_tw,0000016B5FAA022D0000013B6375706F795F72656C656173655155455354,期中考的資料庫是哪個國家?,['ml100-2'],0.0,1,2019-06-23
